Review Author,Rating,Date of Review,Review Text
Roxane,Rating 5 out of 5,"November 26, 2022","Gretchen Felker-Martin's Manhunt is sublime horror--gory, impeccably written, a condemnation and a celebration with a cast of incredibly flawed, deeply interesting characters. I had no idea what to expect when I started reading Manhunt. The novel drops you right in the middle of action. The world has been overturned by a plague that turns men into monsters and in the aftermath, packs of wild men roam the world looking for prey. Only women and trans men have survived and the stakes, for trans women are precarious as they hunt for sources of estrogen to keep themselves alive in every sense of the world. Though the novel starts, with friends Beth and Fran, soon their world expands as they come across Robbie, a man who saves their lives and gets romantically involved with Fran and Indy, a doctor who is using her skills as best she can in a terrifying world with terrifying stakes. They must contend with merciless TERFs who use gender essentialism as a cudgel to rule what's left of the world. The TERF leader Teach hoards power at all costs while her must trusted lieutenant, Ramona, falls in line even when she shouldn't while harboring a secret love for a nonbinary person. There is so much to love here. Manhunt revels in contradictions and complexity. The novel is uncomfortable, but not because of the gore or violence. It's uncomfortable because when you look at how this world we live in treats trans people, what happens in Manhunt seems entirely plausible and yeah, maybe we should all sit with that for a minute or ten. It's a reminder that survival is a brutal thing, that desperation reveals who we really are, and that even at the end of the world, every one just wants to be seen and understood and acknowledged as they really are. By far the best book I've read this year. You should read it and share it with all your friends and enemies.I will also add that this is one of the few and maybe the only book I've ever read that acknowledges that fat people would exist in a dystopia and gets into what the reality of that might look like. We can't all run for hours on end while trying to escape feral hordes of men and TERFs."
Cameron,Rating 5 out of 5,"June 12, 2021",Stop review bombing a trans woman author because you’re mad she isn’t writing sexless uwu smol bean YA trash.
Emily May,,"March 15, 2022",LOL @ this cover 🤭
Carmen,Rating 5 out of 5,"June 24, 2021","Reading this book was like tonguing a live wire; I loved every moment and I still haven’t recovered. As erotic as it is devastating, as brilliant as it is visceral, Manhunt is a modern horror masterpiece."
Bri Burton,Rating 1 out of 5,"April 17, 2022","Y’all want to worship this book because the main characters are trans but ignore the terrible writing, disgusting demonization of women, grotesque depictions of characters eating organs from zombified people’s bodies, and horrifying misogyny evident in just the first chapters available to preview.And considering the author has said things like “I truly, sincerely believe that art should have more rape in it” and “I'm a woman, and a professional author, and I've never written anything without at least one rape scene in it,” I’d be surprised if there wasn’t graphic depictions of rape or other violence against women in it. Truly disgusting that this book has been approved by any publishing house."
megs_bookrack,Rating 4 out of 5,"June 20, 2024","**3.5-star rounded up**Holy Splatterpunk, this is good!! Caution: Don't read whilst eating...Honestly, I don't even know how to begin going about reviewing this book. While it technically fits into genres that I have read, it's like nothing else.Manhunt is like being punched in the face repeatedly and enjoying it. Maybe even asking for more...This is like an unrated version of The Walking Dead, but with trans and other queer main characters.Basically this story takes place in a post-apocalyptic world where a virus has turned the entire male population into horrifying creatures; like walkers.We follow two best friends, Beth and Fran, trans women, trying to survive in New England. They are manhunters. For reasons I won't go into here, they kill the infected men and harvest certain parts of them.Any time they are out hunting they are in terrible danger. This entire setting is incredibly risky. There are not just the infected men they have to deal with, but also bands of TERFs scouting certain areas, as well as other general apocalypse survivors.Everything and everyone poses a risk.Over the course of the first part of the story, Fran and Beth join up with a trans man named, Robbie, and their long-time friend, a fertility doctor named, Indi.Basically, as you can imagine, living situations in this world are highly unstable. We follow our quad as they move from one place to another, trying to find a safe situation for themselves. It ain't easy and a lot of blood, guts and various other bodily fluids get shed along the way.Y'all, wow. I haven't read something this bloody, gorey, toe-curling, gag-inducing, addicting, erotic and uncomfortable, well...ever.I love how Felker-Martin never lets up. It's not a super gore-filled scene followed by 50-pages of nonsense. It is balls to the wall, pardon the pun, the entire way through.The post-apocalyptic setting was so well done. I loved the idea behind the virus, how it struck men and how society tried to rearrange itself after. That was very creative.Additionally, the characters were well done. I wish I had gotten to know each of them a little bit more, but I understand you can only make stories so long. The important bits were all here.Towards the end, it did get chaotic for me. The perspectives were shifting so rapidly, it was sometimes hard to follow. In particular, as the final showdown approached, a few times I lost track of whose perspective I was reading from.Overall, this was such an addicting story. Holy smokes. I feel like I need to take a recovery day to get over it. It's violent, erotic, thought-provoking, visceral...did I mention erotic?Proceed with caution, but also, don't. It's a ride worth being a little uncomfortable for. You can eat again after it's over.Thank you so much to the publisher, Tor Nightfire, for providing me with a copy to read and review. I cannot wait to see what Gretchen Felker-Martin dishes up next!!"
MossyMorels,Rating 2 out of 5,"May 2, 2022","The only reason I'm not giving a 1 is because I don't want to be grouped with the transphobes hating this book because it's trans. I am a trans person and a huge horror fan so was excited for this book. But God was this. Alot. I feel like this book was meant for nothing but shock value. Every page is filled with murder, rape, cannibalism, and sexually explicit content with no breaks. And I don't think it frames trans people in a good light at all, it makes sense why transphobes are using this book to back up their negative ideas on what a trans person is. Also, while the concept of this book and the plague is intriguing I don't think the author spent enough time exploring the idea of what this world means for trans people in different stages of transition. And idk how it sits with me that trans women in this book if they go off hrt become murderous rapists, or the opposite for trans men. Before I started T, I was told by so many people it would change me and make me an angrier, meaner person and this book kinda supports that misconception. Also everyone in this book is so sex obsessed it's weird. God my thoughts are just all over the place with this book, tldr everything in this sat wrong with me and it fuels transphobic ideas and misconceptions"
Matasatan,Rating 1 out of 5,"February 11, 2023","Q from the author: I truly, sincerely believe that art should have more rape in it.Well fuck no! This crap doesn't need to be read. I usually never hate books before I've read them, but if an author raves about rape for ""fun"", and says there should be more of that in books, that's a big no. No. just no.Fuck off, you misogynistic person. "
Nore,Rating 1 out of 5,"March 7, 2022","Edit: Updating my review because actually, after looking at the author's Twitter, I take it back. I wouldn't read anything else by someone who posted someone's negative review to mock, disparagingly referred to AFAB nonbinary authors as ""theyfabs"" (whose books you shouldn't buy, according to her), and encouraged the dogpiling of an author writing a book she didn't like. I'm good! All that's a pass for me!This works better as polemic than it does as a horror novel; it has a weak plot, with so. Very. Many. Timeskips, most of which weren't announced until a few pages after the skip, which made it hard to tell how much time was actually passing in the book. The embarrassing pop culture references means this is gonna be hella fucked dated come five years' time, if it even lasts that long. Constant sex scenes - everyone was so horny for everyone all the time, regardless of what else was going on. Indi at one point mentions that funerals make her horny, which, okay, sure, throw that in for the shock value; it adds nothing to the character, but you're the author.And shock value is really what carries this book, that and some very nice prose. The problem is that shock value is all that it has, and it runs on too long for the gruesome descriptions and brutal events to remain shocking, and good prose only does so much if you've lost interest otherwise.Better worldbuilding or characters with traits beyond ""extremely horny for everyone"" (oh, and ""self-pitying and self-centered to a painful degree"") might have made this less of a drag to read past the halfway mark, but neither of those materialize at any point. I'd read something else by her, but I think I'll pick something shorter next time.ETA: I'm at my keyboard now instead of on my phone and spoilers ahead, because it discusses the grand finale Big Boss Fight at the end of the book. The women defending themselves set up a few trucks to run unmanned into the hordes of men swarming the fort, and apparently run them directly at the walls they're standing on, which was a mind-boggling display of stupidity that was written entirely to allow the men to break into the fort without the author having to think of a more plausible way than ""one single truck manages to bash through super thick stone walls."" Admittedly, I was skimming at this point, but it's what I mean by weak plot. Everything is convenient. Nothing takes too much time. Fran manages to walk back to the Screw and just happens to find Robbie in time, despite it being a decent trip by vehicle and her being in shoddy little slippers over rough terrain.So, two stars. It was okay."
s,Rating 2 out of 5,"June 14, 2023","it's cool that this is pitched as a corrective to the canon of gender-plague novels, although it's not taking aim at stuff like herland or the female man so much as, basically, Y the last man & that fake looking book the end of men—specifically, the way this kind of book fails to account for trans people. unfortunately the world of manhunt is defined by self-hatred to the point of absurdity. if you wanted to satirize the ""narcissism"" of trans women that people who hate us talk about, idk if you could do a better job than this: it's incredible how much the women in this book worry about how clocky they are. maybe ""internalized transmisogyny"" is the real plague? the monomaniacal, self-loathing internal monologues (and corny joss whedon one-liners, surprisingly) pile on for hundreds of pages; a pulpy fast-paced thriller spins its wheels around them until the big, kinda unintelligible, action climax. there's something a little disingenuous about the idea that unrelenting ugliness is somehow more truthful than any other approach; as if brutal violence and cruelty can't be done as poorly as anything else, or that wallowing in misery is valuable simply because it's upsetting. but that's for another time :)like detransition baby, this is never weaker than when it slips into soapboxing and reveals the fundamental myopia of its cultural worldview—absolutely a book written by someone who is too active on twitter (yes—takes one to know one). most of the bits that do land are the parts you'd expect in anything marketed as trans fiction. not convinced much else here works but hey. we'll get there one day girls!"
